역명코드,한글,한자,로마자,좌표
0407,양주,楊州,Yangju,"[37.77444, 127.04472]"
0408,덕정,德亭,Deokjeong,"[37.84444, 127.06139]"
0409,동두천중앙,東豆川中央,Dongducheonjungang,"[37.90222, 127.05639]"
0410,동두천,東豆川,Dongducheon,"[37.92778, 127.05472]"
0411,소요산,逍遙山,Soyosan,"[37.947987, 127.060715]"
0412,초성리,哨城里,Choseong-ri,"[37.99528, 127.07444]"
0413,한탄강,漢灘江,Hantangang,"[38.0071, 127.065]"
0414,전곡,全谷,Jeongok,"[38.024605, 127.07114]"
0415,연천,漣川,Yeoncheon,"[38.10167, 127.07389]"
0416,신망리,新望里,Sinmang-ri,"[38.138187, 127.08364]"
0417,대광리,大光里,Daegwang-ri,"[38.18341, 127.10788]"
0418,대정,大井,Daejeong,"[37.64111, 126.82111]"
0419,원릉,元陵,Wolleung,"[37.6625, 126.83972]"
0420,삼릉,三陵,Samneung,"[37.67861, 126.85028]"
0421,벽제,碧蹄,Byeokje,"[37.68028, 126.89361]"
0422,일영,日迎,Iryeong,"[37.70056, 126.92917]"
0423,장흥,長興,Jangheung,"[37.71861, 126.94139]"
0424,온릉,溫陵,Olleung,"[37.71833, 126.94889]"
0425,송추,松湫,Songchu,"[37.72083, 126.97972]"
0433,거촌,巨村,Geochon,"[36.89028, 128.77278]"
0434,봉성,鳳城,Bongseong,"[36.89444, 128.83057]"
0435,법전,法田,Beopjeon,"[36.916653, 128.88351]"
0436,녹동,鹿洞,Nokdong,"[36.91639, 128.95528]"
0437,동점,銅店,Dongjeom,"[37.08423, 129.04651]"
0438,고사리,古士里,Gosa-ri,"[37.26694, 129.06111]"
0439,하고사리,下古士里,Hagosa-ri,"[37.28028, 129.0625]"
0440,마차리,馬次里,Macha-ri,"[37.30556, 129.07195]"
0441,상정,上鼎,Sangjeong,"[37.382763, 129.10121]"
0442,미로,未老,Miro,"[37.416954, 129.11362]"
0443,도경리,桃京里,Dogyeong-ri,"[37.4425, 129.11528]"
0444,안인,安仁,Anin,"[37.691357, 129.03331]"
0445,삼척,三陟,Samcheok,"[37.429928, 129.17873]"
0448,연하,蓮下,Yeonha,"[37.19155, 128.5561]"
0449,추전,杻田,Chujeon,"[37.2, 128.94995]"
0450,동백산,東栢山,Dongbaeksan,"[37.150898, 129.03459]"
0451,범일,凡一,Beomil,"[35.14389, 129.05167]"
0452,거제,巨堤,Geoje,"[35.18583, 129.06944]"
0453,안락,安樂,Allak,"[35.19596, 129.1038]"
0454,재송,裁松,Jaesong,"[35.189537, 129.1201]"
0455,센텀,,Centum,"[35.17917, 129.12497]"
0456,벡스코,,BEXCO,"[35.17167, 129.13583]"
0457,개운포,開雲浦,Gaeunpo,"[35.50778, 129.3211]"
0464,구부조,舊扶助,Gubujo,"[36.00194, 129.2825]"
0465,신창원,新昌原,Sinchangwon,"[35.233105, 128.63974]"
0466,남창원,南昌原,Namchangwon,"[35.20306, 128.65944]"
0467,성주사,聖住寺,Seongjusa,"[35.18806, 128.6925]"
0468,경화,慶和,Gyeonghwa,"[35.15917, 128.68668]"
0469,통해,統海,Tonghae,"[35.15363, 128.67935]"
0472,청천,淸泉,Cheongcheon,"[35.880173, 128.76727]"
0473,금호,琴湖,Geumho,"[35.931732, 128.86885]"
0476,가야,伽倻,Gaya,"[35.16139, 129.04279]"
0477,낙동강,洛東江,Nakdonggang,"[35.388554, 128.83023]"
0484,완사,浣紗,Wansa,"[35.13917, 127.97972]"
0488,평화,平和,Pyeonghwa,"[34.94278, 127.55083]"
0489,원창,元倉,Wonchang,"[34.8659, 127.44795]"
0490,구룡,九龍,Guryong,"[34.841263, 127.41711]"
0491,광곡,廣谷,Gwanggok,"[34.79639, 127.07306]"
0497,남평,南平,Nampyeong,"[35.06194, 126.87083]"
0498,동송정,東松汀,Dongsongjeong,"[35.14524, 126.81678]"
0499,신암,新岩,Sinam,"[36.16194, 128.01056]"
0500,문단,文丹,Mundan,"[36.863316, 128.68274]"
0501,광명,光明,Gwangmyeong,"[37.41639, 126.885]"
0502,천안아산,天安牙山,Cheonan-Asan,"[36.794384, 127.10452]"
0503,아산,牙山,Asan,"[36.794384, 127.10452]"
0504,장항,長項,Janghang,"[36.04, 126.71556]"
0505,군산,群山,Gusan,"[35.9977, 126.76087]"
0506,서대구,西大邱,Seodaegu,"[35.88083, 128.53917]"
0507,김천(구미),金泉(龜尾),Gimcheon(Gumi),"[36.1135, 128.18097]"
0508,경주,慶州,Gyeongju,"[35.79833, 129.13889]"
0509,울산,蔚山,Ulsan,"[35.550686, 129.13794]"
0511,진례,進禮,Jinrye,"[35.2625, 128.76056]"
0512,창원중앙,昌原中央,Changwonjungang,"[35.242268, 128.70186]"
0513,구리,九里,Guri,"[37.60326, 127.14337]"
0514,공주,公州,Gongju,"[36.332455, 127.096855]"
0515,포항,浦項,Pohang,"[36.07139, 129.34222]"
0516,횡성,橫城,Hoengseong,"[37.48278, 128.01028]"
0517,둔내,屯內,Dunnae,"[37.51, 128.22112]"
0518,평창,平昌,Pyeongchang,"[37.56222, 128.43]"
0519,진부(오대산),珍富(五臺山),Jinbu(Odaesan),"[37.6425, 128.57472]"
0520,월포,月浦,Wolpo,"[36.203556, 129.36642]"
0521,장사,長沙,Jangsa,"[36.284138, 129.36914]"
0522,강구,江口,Ganggu,"[36.352398, 129.37257]"
0523,영덕,盈德,Yeongdeok,"[36.411636, 129.37766]"
0524,서원주,西原州,Seowonju,"[37.3498, 127.837]"
0525,원주,原州,Wonju,"[37.31611, 127.92167]"
0526,안동,安東,Andong,"[36.57487, 128.675]"
0527,웅천,熊川,Ungcheon,"[36.23611, 126.60667]"
0528,대야,大野,Daeya,"[35.94472, 126.82389]"
0529,부발,夫鉢,Bubal,"[37.26041, 127.49031]"
0530,가남,加南,Ganam,"[37.1976, 127.5353]"
0531,감곡장호원,甘谷長湖院,GamgokJanghowon,"[37.1273, 127.6349]"
0532,앙성온천,仰城溫泉,AngseongOncheon,"[37.0921, 127.7883]"
0533,서경주,西慶州,Seogyeongju,"[35.885, 129.18]"
